timestamp,device_id,src_ip,dst_ip,service,bytes_sent,bytes_recv,action,trust_level
2025-09-16T10:00:00,guest-laptop,203.0.113.5,10.0.0.50,80/tcp,150,20,connect,low
2025-09-16T10:01:00,printer-12,192.168.1.50,10.0.0.20,9100/tcp,3000,120,print,low
2025-09-16T10:02:00,printer-12,192.168.1.50,10.0.0.10,443/tcp,24567,1024,send,low
2025-09-16T10:03:00,srv-db-01,10.0.0.10,10.0.0.11,22/tcp,50,10,ssh,high
2025-09-16T10:04:00,camera-3,192.168.1.60,10.0.0.50,554/tcp,1200,300,stream,low
2025-09-16T10:05:00,printer-12,192.168.1.50,10.0.0.10,443/tcp,5000,400,send,low
2025-09-16T10:06:00,guest-laptop,203.0.113.5,10.0.0.20,80/tcp,300,10,browse,low
2025-09-16T10:07:00,srv-web-01,10.0.0.50,10.0.0.10,443/tcp,100,50,api,high
2025-09-16T10:08:00,printer-12,192.168.1.50,10.0.0.15,445/tcp,6000,500,send,low
2025-09-16T10:09:00,guest-laptop,203.0.113.5,10.0.0.10,22/tcp,1000,5,attempt,low
2025-09-16T10:10:00,srv-db-01,10.0.0.10,10.0.0.20,443/tcp,200,100,dbsync,high
2025-09-16T10:11:00,router-1,10.0.0.1,10.0.0.10,0,0,0,route,high
